sg,pl
test,tests
loss,losses
colour,colours
shop,shops
benefit,benefits
animal,animals
heart,hearts
election,elections
purpose,purposes
standard,standards
secretary,secretaries
date,dates
music,musics
hair,hairs
factor,factors
pattern,patterns
piece,pieces
front,fronts
evening,evenings
tree,trees
population,populations
plant,plants
pressure,pressures
response,responses
street,streets
performance,performances
knowledge,knowledges
design,designs
page,pages
individual,individuals
rest,rests
basis,bases
size,sizes
environment,environments
fire,fires
success,successes
thought,thoughts
list,lists
future,futures
analysis,analyses
space,spaces
demand,demands
statement,statements
attention,attentions
love,loves
principle,principles
set,sets
doctor,doctors
choice,choices
feature,features
couple,couples
step,steps
machine,machines
income,incomes
training,trainings
association,associations
film,films
region,regions
effort,efforts
player,players
award,awards
village,villages
organisation,organisations
news,newses
difficulty,difficulties
cell,cells
energy,energies
degree,degrees
mile,miles
growth,growths
treatment,treatments
sound,sounds
task,tasks
provision,provisions
behaviour,behaviours
function,functions
resource,resources
defence,defences
garden,gardens
floor,floors
technology,technologies
style,styles
science,sciences
doubt,doubts
answer,answers
user,users
fund,funds
character,characters
risk,risks
dog,dogs
army,armies
station,stations
glass,glasses
cup,cups
husband,husbands
capital,capitals
note,notes
season,seasons
argument,arguments
show,shows
responsibility,responsibilities
deal,deals
economy,economies
element,elements
duty,duties
attempt,attempts
leg,legs
investment,investments
title,titles
hotel,hotels
aspect,aspects
increase,increases
help,helps
summer,summers
daughter,daughters
baby,babies
sea,seas
skill,skills
claim,claims
concern,concerns
university,universities
discussion,discussions
customer,customers
conference,conferences
whole,wholes
profit,profits
division,divisions
procedure,procedures
king,kings
image,images
oil,oils
circumstance,circumstances
proposal,proposals
client,clients
sector,sectors
direction,directions
instance,instances
sign,signs
measure,measures
attitude,attitudes
disease,diseases
commission,commissions
seat,seats
president,presidents
addition,additions
goal,goals
technique,techniques
respect,respects
item,items
version,versions
ability,abilities
good,goods
campaign,campaigns
advice,advices
institution,institutions
surface,surfaces
library,libraries
pupil,pupils
advantage,advantages
memory,memories
culture,cultures
blood,bloods
majority,majorities
variety,varieties
press,presses
bill,bills
competition,competitions
general,generals
access,accesses
extent,extents
employment,employments
present,presents
appeal,appeals
text,texts
parliament,parliaments
cause,causes
attack,attacks
mouth,mouths
visit,visits
trouble,troubles
payment,payments
post,posts
county,counties
lady,ladies
holiday,holidays
importance,importances
chair,chairs
facility,facilities
article,articles
object,objects
context,contexts
survey,surveys
turn,turns
collection,collections
reference,references
card,cards
television,televisions
communication,communications
agency,agencies
sun,suns
possibility,possibilities
official,officials
chairman,chairmen
speaker,speakers
career,careers
weight,weights
base,bases
document,documents
solution,solutions
return,returns
talk,talks
budget,budgets
river,rivers
organization,organizations
start,starts
requirement,requirements
edge,edges
opposition,oppositions
opinion,opinions
drug,drugs
quarter,quarters
option,options
call,calls
stock,stocks
influence,influences
occasion,occasions
software,softwares
exchange,exchanges
lack,lacks
concept,concepts
arrangement,arrangements
bird,birds
band,bands
finger,fingers
past,pasts
equipment,equipments
north,norths
move,moves
message,messages
afternoon,afternoons
race,races
strategy,strategies
scene,scenes
kitchen,kitchens
speech,speeches
network,networks
tea,teas
peace,peaces
failure,failures
employee,employees
scale,scales
shoulder,shoulders
railway,railways
supply,supplies
expression,expressions
owner,owners
corner,corners
match,matches
sport,sports
status,statuses
offer,offers
marriage,marriages
sentence,sentences
crime,crimes
ball,balls
wind,winds
truth,truths
safety,safeties
partner,partners
copy,copies
balance,balances
sister,sisters
reader,readers
trial,trials
rock,rocks
damage,damages
newspaper,newspapers
meaning,meanings
nation,nations
south,souths
length,lengths
branch,branches
planning,plannings
trust,trusts
pain,pains
studio,studios
spirit,spirits
college,colleges
accident,accidents
hope,hopes
league,leagues
cash,cashes
play,plays
strength,strengths
train,trains
target,targets
pair,pairs
contribution,contributions
artist,artists
agent,agents
presence,presences
contact,contacts
protection,protections
beginning,beginnings
executive,executives
speed,speeds
review,reviews
route,routes
consequence,consequences
telephone,telephones
proportion,proportions
consideration,considerations
reform,reforms
driver,drivers
distance,distances
exercise,exercises
skin,skins
island,islands
danger,dangers
credit,credits
candidate,candidates
track,tracks
assessment,assessments
path,paths
district,districts
reaction,reactions
impact,impacts
debate,debates
rise,rises
conclusion,conclusions
shape,shapes
vote,votes
aim,aims
file,files
earth,earths
public,publics
estate,estates
boat,boats
prison,prisons
wine,wines
writer,writers
weekend,weekends
sight,sights
video,videos
reality,realities
hall,halls
vehicle,vehicles
colleague,colleagues
lead,leads
farm,farms
employer,employers
understanding,understandings
connection,connections
comment,comments
phone,phones
hole,holes
insurance,insurances
content,contents
confidence,confidences
sample,samples
transport,transports
objective,objectives
flower,flowers
injury,injuries
battle,battles
generation,generations
winter,winters
will,wills
progress,progresses
volume,volumes
ship,ships
legislation,legislations
commitment,commitments
conflict,conflicts
bag,bags
entry,entries
smile,smiles
introduction,introductions
manner,manners
background,backgrounds
key,keys
cabinet,cabinets
painting,paintings
engine,engines
administration,administrations
adult,adults
author,authors
song,songs
investigation,investigations
debt,debts
visitor,visitors
forest,forests
wood,woods
contrast,contrasts
wage,wages
threat,threats
regulation,regulations
drink,drinks
run,runs
tradition,traditions
farmer,farmers
traffic,traffics
dinner,dinners
consumer,consumers
meal,meals
package,packages
half,halves
description,descriptions
stuff,stuffs
existence,existences
improvement,improvements
coffee,coffees
appearance,appearances
sheet,sheets
category,categories
distribution,distributions
session,sessions
loan,loans
museum,museums
conversation,conversations
link,links
victim,victims
audience,audiences
master,masters
lip,lips
exhibition,exhibitions
judge,judges
housing,housings
freedom,freedoms
gentleman,gentlemen
explanation,explanations
total,totals
construction,constructions
middle,middles
yard,yards
crisis,crises
west,wests
god,gods
favour,favours
capacity,capacities
flat,flats
selection,selections
football,footballs
victory,victories
factory,factories
examination,examinations
intention,intentions
egg,eggs
aircraft,aircraft
decade,decades
row,rows
search,searches
limit,limits
definition,definitions
unemployment,unemployments
mark,marks
flight,flights
output,outputs
tour,tours
address,addresses
reduction,reductions
interview,interviews
while,whiles
dream,dreams
challenge,challenges
notice,notices
rain,rains
mountain,mountains
concentration,concentrations
finance,finances
pension,pensions
murder,murders
neck,necks
weapon,weapons
offence,offences
absence,absences
error,errors
representative,representatives
enterprise,enterprises
criticism,criticisms
appointment,appointments
acid,acids
spring,springs
birth,births
ear,ears
module,modules
instruction,instructions
park,parks
weather,weathers
bottle,bottles
bedroom,bedrooms
kid,kids
pleasure,pleasures
assembly,assemblies
teaching,teachings
desire,desires
implication,implications
temperature,temperatures
wave,waves
magazine,magazines
store,stores
settlement,settlements
recognition,recognitions
touch,touches
silence,silences
expenditure,expenditures
institute,institutes
asset,assets
sum,sums
publication,publications
block,blocks
youth,youths
tape,tapes
cover,covers
fee,fees
program,programs
treaty,treaties
guest,guests
code,codes
hill,hills
screen,screens
household,households
sequence,sequences
phase,phases
crowd,crowds
metal,metals
human,humans
cut,cuts
sky,skies
brain,brains
expert,experts
experiment,experiments
initiative,initiatives
assumption,assumptions
photograph,photographs
ministry,ministries
congress,congresses
transfer,transfers
reading,readings
scientist,scientists
solicitor,solicitors
plate,plates
pool,pools
gold,golds
emphasis,emphases
location,locations
heat,heats
gun,guns
journey,journeys
violence,violences
noise,noises
lunch,lunches
fall,falls
bottom,bottoms
theme,themes
characteristic,characteristics
display,displays
combination,combinations
interpretation,interpretations
justice,justices
tooth,teeth
cat,cats
tool,tools
spot,spots
bridge,bridges
soldier,soldiers
breath,breaths
nurse,nurses
coal,coals
priority,priorities
revenue,revenues
membership,memberships
grant,grants
faith,faiths
troop,troops
motion,motions
component,components
literature,literatures
variation,variations
alternative,alternatives
mass,masses
chemical,chemicals
instrument,instruments
guide,guides
pocket,pockets
suggestion,suggestions
tone,tones
wing,wings
surprise,surprises
male,males
ring,rings
pub,pubs
fruit,fruits
passage,passages
pay,pays
foundation,foundations
restaurant,restaurants
map,maps
device,devices
east,easts
advance,advances
motor,motors
hell,hells
winner,winners
mistake,mistakes
incident,incidents
representation,representations
release,releases
border,borders
prospect,prospects
trip,trips
observation,observations
gate,gates
circle,circles
creation,creations
drawing,drawings
flow,flows
request,requests
impression,impressions
neighbour,neighbours
theatre,theatres
mechanism,mechanisms
potential,potentials
defendant,defendants
atmosphere,atmospheres
chain,chains
enemy,enemies
desk,desks
engineering,engineerings
panel,panels
distinction,distinctions
deputy,deputies
discipline,disciplines
strike,strikes
establishment,establishments
fashion,fashions
roof,roofs
milk,milks
tear,tears
finding,findings
welfare,welfares
leadership,leaderships
walk,walks
negotiation,negotiations
religion,religions
fuel,fuels
mine,mines
servant,servants
liability,liabilities
expense,expenses
soil,soils
writing,writings
nose,noses
origin,origins
lord,lords
drive,drives
ticket,tickets
editor,editors
significance,significances
channel,channels
convention,conventions
bone,bones
vision,visions
trend,trends
revolution,revolutions
knee,knees
dress,dresses
signal,signals
notion,notions
comparison,comparisons
outcome,outcomes
lawyer,lawyers
achievement,achievements
expectation,expectations
prisoner,prisoners
citizen,citizens
plastic,plastics
plane,planes
height,heights
opening,openings
lesson,lessons
shock,shocks
tenant,tenants
root,roots
independence,independences
column,columns
proceeding,proceedings
female,females
beauty,beauties
struggle,struggles
gap,gaps
database,databases
stress,stresses
passenger,passengers
boundary,boundaries
manufacturer,manufacturers
formation,formations
queen,queens
waste,wastes
politician,politicians
territory,territories
championship,championships
exception,exceptions
inquiry,inquiries
topic,topics
resident,residents
transaction,transactions
parish,parishes
supporter,supporters
inflation,inflations
assistance,assistances
identity,identities
preparation,preparations
cancer,cancers
champion,champions
licence,licences
breakfast,breakfasts
minority,minorities
fan,fans
chief,chiefs
accommodation,accommodations
democracy,democracies
taste,tastes
crown,crowns
buyer,buyers
gift,gifts
resolution,resolutions
metre,metres
wheel,wheels
clause,clauses
break,breaks
tank,tanks
complaint,complaints
inch,inches
quantity,quantities
coat,coats
involvement,involvements
tension,tensions
diet,diets
prize,prizes
frame,frames
extension,extensions
spokesman,spokesmen
regime,regimes
fault,faults
dispute,disputes
grass,grasses
decline,declines
delivery,deliveries
conservative,conservatives
port,ports
beach,beaches
string,strings
depth,depths
travel,travels
pilot,pilots
obligation,obligations
gene,genes
republic,republics
shadow,shadows
average,averages
phrase,phrases
crew,crews
coast,coasts
engineer,engineers
charity,charities
warning,warnings
framework,frameworks
approval,approvals
novel,novels
currency,currencies
protein,proteins
behalf,behalves
councillor,councillors
setting,settings
command,commands
maintenance,maintenances
stair,stairs
poem,poems
chest,chests
secret,secrets
restriction,restrictions
hat,hats
mode,modes
saving,savings
camp,camps
export,exports
partnership,partnerships
profession,professions
load,loads
countryside,countrysides
boot,boots
reputation,reputations
recommendation,recommendations
autumn,autumns
poll,polls
recovery,recoveries
premise,premises
plaintiff,plaintiffs
critic,critics
agriculture,agricultures
ice,ices
constitution,constitutions
communist,communists
layer,layers
recession,recessions
suit,suits
arrival,arrivals
protest,protests
resistance,resistances
presentation,presentations
soul,souls
self,selves
judgment,judgments
muscle,muscles
shareholder,shareholders
pollution,pollutions
wealth,wealths
kingdom,kingdoms
bread,breads
perspective,perspectives
prince,princes
illness,illnesses
cake,cakes
meat,meats
penalty,penalties
beer,beers
electricity,electricities
bond,bonds
laboratory,laboratories
captain,captains
boss,bosses
creature,creatures
being,beings
lifespan,lifespans
valley,valleys
guard,guards
emergency,emergencies
dark,darks
bomb,bombs
dollar,dollars
efficiency,efficiencies
mood,moods
possession,possessions
marketing,marketings
habit,habits
round,rounds
purchase,purchases
expansion,expansions
angle,angles
ratio,ratios
sleep,sleeps
wedding,weddings
personality,personalities
bishop,bishops
landscape,landscapes
mirror,mirrors
symptom,symptoms
promotion,promotions
tendency,tendencies
conservation,conservations
reply,replies
estimate,estimates
qualification,qualifications
governor,governors
cycle,cycles
philosophy,philosophies
gallery,galleries
intervention,interventions
advertising,advertisings
regard,regards
cigarette,cigarettes
variable,variables
net,nets
sugar,sugars
frequency,frequencies
guy,guys
furniture,furnitures
input,inputs
jacket,jackets
actor,actors
producer,producers
hearing,hearings
chip,chips
equation,equations
certificate,certificates
alliance,alliances
awareness,awarenesses
throat,throats
discovery,discoveries
festival,festivals
dance,dances
promise,promises
rose,roses
coach,coaches
drama,dramas
recording,recordings
bath,baths
substance,substances
investor,investors
rank,ranks
rent,rents
dealer,dealers
cloud,clouds
enquiry,enquiries
fight,fights
abuse,abuses
golf,golfs
guitar,guitars
cottage,cottages
scope,scopes
mixture,mixtures
emotion,emotions
shirt,shirts
allowance,allowances
retirement,retirements
breach,breaches
infection,infections
paragraph,paragraphs
researcher,researchers
consent,consents
lake,lakes
entrance,entrances
peak,peaks
sand,sands
cold,colds
cheek,cheeks
platform,platforms
interaction,interactions
watch,watches
birthday,birthdays
knife,knives
core,cores
peasant,peasants
permission,permissions
personnel,personnels
judgement,judgements
stream,streams
perception,perceptions
disaster,disasters
darkness,darknesses
sake,sakes
tourist,tourists
policeman,policemen
castle,castles
demonstration,demonstrations
anger,angers
clock,clocks
custom,customs
wish,wishes
priest,priests
chamber,chambers
acquisition,acquisitions
circuit,circuits
consumption,consumptions
hold,holds
zone,zones
honour,honours
square,squares
disk,disks
survival,survivals
tower,towers
deposit,deposits
pace,paces
compensation,compensations
adviser,advisers
consultant,consultants
landlord,landlords
delay,delays
green,greens
holder,holders
edition,editions
occupation,occupations
intelligence,intelligences
empire,empires
host,hosts
relative,relatives
fellow,fellows
poet,poets
journalist,journalists
defeat,defeats
indication,indications
cricket,crickets
routine,routines
print,prints
anxiety,anxieties
witness,witnesses
curtain,curtains
mission,missions
supplier,suppliers
poverty,poverties
snow,snows
prayer,prayers
pipe,pipes
shift,shifts
carpet,carpets
ownership,ownerships
joke,jokes
workshop,workshops
salt,salts
symbol,symbols
cross,crosses
tale,tales
preference,preferences
gain,gains
remark,remarks
province,provinces
steel,steels
dose,doses
alcohol,alcohols
guidance,guidances
climate,climates
tail,tails
sheep,sheep
medicine,medicines
smell,smells
operator,operators
measurement,measurements
architecture,architectures
worth,worths
tie,ties
barrier,barriers
practitioner,practitioners
enthusiasm,enthusiasms
implementation,implementations
pitch,pitches
drop,drops
lane,lanes
apple,apples
catalogue,catalogues
tip,tips
publisher,publishers
opponent,opponents
burden,burdens
historian,historians
stomach,stomachs
percentage,percentages
evaluation,evaluations
talent,talents
silver,silvers
pack,packs
fun,funs
democrat,democrats
fortune,fortunes
storage,storages
professional,professionals
reserve,reserves
dimension,dimensions
confusion,confusions
satisfaction,satisfactions
vessel,vessels
stand,stands
curve,curves
pot,pots
replacement,replacements
mortgage,mortgages
salary,salaries
proof,proofs
dish,dishes
favourite,favourites
luck,lucks
count,counts
determination,determinations
consultation,consultations
conduct,conducts
cheque,cheques
merchant,merchants
lecture,lectures
leisure,leisures
check,checks
cheese,cheeses
lift,lifts
fabric,fabrics
lover,lovers
childhood,childhoods
mouse,mice
strain,strains
participant,participants
smoke,smokes
movie,movies
seed,seeds
journal,journals
shopping,shoppings
equivalent,equivalents
palace,palaces
poetry,poetries
spite,spites
conviction,convictions
corridor,corridors
ward,wards
profile,profiles
comfort,comforts
bathroom,bathrooms
shell,shells
reward,rewards
vegetable,vegetables
imagination,imaginations
mystery,mysteries
march,marches
surgery,surgeries
announcement,announcements
draft,drafts
unity,unities
airport,airports
admission,admissions
tissue,tissues
magistrate,magistrates
joy,joys
classroom,classrooms
turnover,turnovers
limitation,limitations
specialist,specialists
tongue,tongues
refugee,refugees
composition,compositions
ceiling,ceilings
stick,sticks
universe,universes
label,labels
acceptance,acceptances
detective,detectives
designer,designers
summit,summits
participation,participations
weakness,weaknesses
excitement,excitements
brick,bricks
wire,wires
crop,crops
transition,transitions
roll,rolls
stop,stops
assistant,assistants
constituency,constituencies
concert,concerts
breast,breasts
squad,squads
wonder,wonders
cream,creams
tennis,tennises
pride,prides
bowl,bowls
expertise,expertises
leather,leathers
observer,observers
margin,margins
uncertainty,uncertainties
ideal,ideals
holding,holdings
dust,dusts
trouser,trousers
register,registers
guideline,guidelines
amendment,amendments
architect,architects
objection,objections
chart,charts
consciousness,consciousnesses
tin,tins
tube,tubes
coin,coins
grammar,grammars
diary,diaries
flesh,fleshes
summary,summaries
infant,infants
storm,storms
rugby,rugbies
virtue,virtues
specimen,specimens
psychology,psychologies
paint,paints
constraint,constraints
privilege,privileges
completion,completions
grade,grades
import,imports
potato,potatoes
repair,repairs
passion,passions
heaven,heavens
nerve,nerves
win,wins
printer,printers
coalition,coalitions
venture,ventures
timber,timbers
companion,companions
horror,horrors
gesture,gestures
van,vans
glance,glances
jury,juries
charter,charters
feminist,feminists
discourse,discourses
reflection,reflections
carbon,carbons
taxation,taxations
prosecution,prosecutions
publicity,publicities
departure,departures
reception,receptions
cousin,cousins
vat,vats
blue,blues
pass,passes
evolution,evolutions
ideology,ideologies
agenda,agendas
chicken,chickens
innovation,innovations
opera,operas
lock,locks
shelf,shelves
pole,poles
punishment,punishments
inside,insides
carriage,carriages
conversion,conversions
essay,essays
integration,integrations
resignation,resignations
treasury,treasuries
traveller,travellers
chocolate,chocolates
assault,assaults
schedule,schedules
twin,twins
format,formats
seller,sellers
lease,leases
ally,allies
stake,stakes
cap,caps
sympathy,sympathies
tunnel,tunnels
pen,pens
blow,blows
attraction,attractions
disc,discs
machinery,machineries
inspector,inspectors
purchaser,purchasers
resort,resorts
pop,pops
organ,organs
friendship,friendships
deficit,deficits
dear,dears
planet,planets
grain,grains
particle,particles
destruction,destructions
pit,pits
registration,registrations
conception,conceptions
rival,rivals
steam,steams
chancellor,chancellors
belt,belts
logic,logics
alarm,alarms
incentive,incentives
bench,benches
ambition,ambitions
fate,fates
vendor,vendors
stranger,strangers
fibre,fibres
black,blacks
petrol,petrols
maker,makers
allocation,allocations
depression,depressions
declaration,declarations
dividend,dividends
pile,piles
identification,identifications
directive,directives
mortality,mortalities
silk,silks
funeral,funerals
inspection,inspections
calculation,calculations
rubbish,rubbishes
youngster,youngsters
slope,slopes
patch,patches
invitation,invitations
federation,federations
duke,dukes
closure,closures
dictionary,dictionaries
withdrawal,withdrawals
cry,cries
borough,boroughs
suspicion,suspicions
portrait,portraits
fragment,fragments
competitor,competitors
clinic,clinics
complexity,complexities
remedy,remedies
fence,fences
bike,bikes
interior,interiors
voter,voters
garage,garages
era,eras
plot,plots
lie,lies
disorder,disorders
excuse,excuses
harm,harms
excess,excesses
accountant,accountants
fat,fats
volunteer,volunteers
laughter,laughters
trick,tricks
disposal,disposals
tonne,tonnes
clerk,clerks
applicant,applicants
removal,removals
processor,processors
professor,professors
delight,delights
mate,mates
exposure,exposures
server,servers
rope,ropes
miner,miners
entertainment,entertainments
acre,acres
pig,pigs
guarantee,guarantees
gear,gears
anniversary,anniversaries
ceremony,ceremonies
monopoly,monopolies
left,lefts
discount,discounts
uncle,uncles
audit,audits
advertisement,advertisements
explosion,explosions
tribunal,tribunals
rat,rats
cloth,cloths
cable,cables
crash,crashes
flame,flames
controversy,controversies
allegation,allegations
strip,strips
stability,stabilities
tide,tides
illustration,illustrations
insect,insects
correspondent,correspondents
adjustment,adjustments
escape,escapes
interface,interfaces
collapse,collapses
temple,temples
shade,shades
craft,crafts
nursery,nurseries
piano,pianos
assurance,assurances
jurisdiction,jurisdictions
bay,bays
specification,specifications
disability,disabilities
arrest,arrests
switch,switches
celebration,celebrations
colony,colonies
wound,wounds
hardware,hardwares
satellite,satellites
bible,bibles
cathedral,cathedrals
motive,motives
raid,raids
invasion,invasions
humour,humours
bulk,bulks
rhythm,rhythms
emission,emissions
transformation,transformations
battery,batteries
stimulus,stimuli
white,whites
menu,menus
toilet,toilets
butter,butters
needle,needles
effectiveness,effectivenesses
accordance,accordances
molecule,molecules
fiction,fictions
learning,learnings
statute,statutes
junction,junctions
necessity,necessities
lorry,lorries
warmth,warmths
therapy,therapies
cinema,cinemas
domain,domains
tournament,tournaments
doctrine,doctrines
proposition,propositions
grip,grips
widow,widows
discrimination,discriminations
fit,fits
myth,myths
episode,episodes
terrace,terraces
insight,insights
tragedy,tragedies
leaflet,leaflets
pond,ponds
adventure,adventures
rebel,rebels
equity,equities
loyalty,loyalties
airline,airlines
shore,shores
restoration,restorations
mess,messes
commander,commanders
singer,singers
successor,successors
triumph,triumphs
heading,headings
laugh,laughs
clue,clues
ease,eases
trustee,trustees
photo,photos
fraction,fractions
mud,muds
pensioner,pensioners
coverage,coverages
wildlife,wildlifes
indicator,indicators
hierarchy,hierarchies
creditor,creditors
capitalist,capitalists
essence,essences
gaze,gazes
seminar,seminars
fig,figs
continent,continents
chap,chaps
flexibility,flexibilities
verse,verses
whisky,whiskies
launch,launches
cupboard,cupboards
bush,bushes
shortage,shortages
merger,mergers
gang,gangs
lifetime,lifetimes
elite,elites
refusal,refusals
finish,finishes
landing,landings
separation,separations
productivity,productivities
probability,probabilities
virus,viruses
reporter,reporters
fool,fools
capitalism,capitalisms
rumour,rumours
justification,justifications
availability,availabilities
ocean,oceans
cliff,cliffs
sociology,sociologies
missile,missiles
apartment,apartments
angel,angels
shame,shames
discretion,discretions
businessman,businessmen
uniform,uniforms
push,pushes
counter,counters
clothing,clothings
ride,rides
attendance,attendances
trace,traces
backing,backings
sensation,sensations
carrier,carriers
classification,classifications
classic,classics
doorway,doorways
density,densities
hint,hints
shower,showers
current,currents
succession,successions
duration,durations
desert,deserts
receipt,receipts
chapel,chapels
fleet,fleets
oxygen,oxygens
installation,installations
developer,developers
disadvantage,disadvantages
recipe,recipes
crystal,crystals
modification,modifications
midnight,midnights
truck,trucks
stroke,strokes
kiss,kisses
envelope,envelopes
speculation,speculations
canal,canals
unionist,unionists
directory,directories
receiver,receivers
isolation,isolations
chemistry,chemistries
hit,hits
defender,defenders
stance,stances
sin,sins
socialist,socialists
subsidy,subsidies
toy,toys
darling,darlings
liberty,liberties
skirt,skirts
tactic,tactics
accent,accents
compound,compounds
bastard,bastards
ingredient,ingredients
scholar,scholars
ghost,ghosts
sculpture,sculptures
diagnosis,diagnoses
delegate,delegates
kit,kits
lion,lions
dialogue,dialogues
tray,trays
fantasy,fantasies
leave,leaves
lamp,lamps
pavement,pavements
brand,brands
constable,constables
compromise,compromises
flag,flags
filter,filters
reign,reigns
pity,pities
merit,merits
diagram,diagrams
wool,wools
organism,organisms
undertaking,undertakings
reach,reaches
entity,entities
rape,rapes
portfolio,portfolios
consensus,consensuses
thesis,theses
nest,nests
builder,builders
lung,lungs
delegation,delegations
outside,outsides
heating,heatings
instinct,instincts
teenager,teenagers
residence,residences
radiation,radiations
concession,concessions
autonomy,autonomies
norm,norms
musician,musicians
graduate,graduates
glory,glories
capability,capabilities
worry,worries
liberation,liberations
heel,heels
single,singles
stretch,stretches
pregnancy,pregnancies
suicide,suicides
panic,panics
giant,giants
sphere,spheres
sword,swords
bean,beans
primary,primaries
tutor,tutors
tune,tunes
debut,debuts
incidence,incidences
killer,killers
subsidiary,subsidiaries
gender,genders
breed,breeds
pint,pints
translation,translations
princess,princesses
jet,jets
grave,graves
correlation,correlations
outline,outlines
packet,packets
motivation,motivations
spell,spells
spread,spreads
draw,draws
redundancy,redundancies
intensity,intensities
crack,cracks
fly,flies
scandal,scandals
parameter,parameters
engagement,engagements
contest,contests
courage,courages
hip,hips
carer,carers
trainer,trainers
remainder,remainders
assignment,assignments
working,workings
rider,riders
clay,clays
terminal,terminals
accuracy,accuracies
coup,coups
ambulance,ambulances
living,livings
offender,offenders
similarity,similarities
orchestra,orchestras
brush,brushes
striker,strikers
casualty,casualties
painter,painters
banking,bankings
sensitivity,sensitivities
navy,navies
disappointment,disappointments
auditor,auditors
hostility,hostilities
spending,spendings
photographer,photographers
neighbourhood,neighbourhoods
pardon,pardons
double,doubles
supervision,supervisions
guilt,guilts
deck,decks
execution,executions
suite,suites
collector,collectors
questionnaire,questionnaires
flavour,flavours
faculty,faculties
basket,baskets
mention,mentions
kick,kicks
horizon,horizons
happiness,happinesses
fighter,fighters
copper,coppers
legend,legends
relevance,relevances
divorce,divorces
trader,traders
can,cans
juice,juices
nightmare,nightmares
medal,medals
diamond,diamonds
monster,monsters
nonsense,nonsenses
chaos,chaoses
humanity,humanities
frustration,frustrations
chin,chins
polytechnic,polytechnics
inhabitant,inhabitants
slave,slaves
reservation,reservations
handle,handles
fishing,fishings
yield,yields
elbow,elbows
sleeve,sleeves
exploration,explorations
theft,thefts
grace,graces
predecessor,predecessors
supermarket,supermarkets
sergeant,sergeants
clash,clashes
arrow,arrows
waiting,waitings
tap,taps
shit,shits
sandwich,sandwiches
commerce,commerces
pursuit,pursuits
collar,collars
socialism,socialisms
rice,rices
exclusion,exclusions
transmission,transmissions
fist,fists
drawer,drawers
dismissal,dismissals
magic,magics
affection,affections
dawn,dawns
principal,principals
bloke,blokes
trap,traps
competence,competences
commonwealth,commonwealths
breakdown,breakdowns
candle,candles
venue,venues
supper,suppers
analyst,analysts
pause,pauses
counterpart,counterparts
script,scripts
geography,geographies
lamb,lambs
terror,terrors
stable,stables
founder,founders
utility,utilities
shelter,shelters
poster,posters
cooking,cookings
miracle,miracles
jaw,jaws
pan,pans
tent,tents
tumour,tumours
funding,fundings
stitch,stitches
ladder,ladders
keeper,keepers
shield,shields
surgeon,surgeons
orange,oranges
comedy,comedies
ruler,rulers
workstation,workstations
prey,preys
manual,manuals
cure,cures
overall,overalls
pope,popes
rush,rushes
